Vivado Simulator 2019.2
Time resolution is 1 ps
a = 11011110, b = 11100101, op = 100110, out = 11011101                  76
Error en operacion 100110 en tiempo                   76 ns
a = 11011110, b = 11100101, op = 100110, out = 11011001                  76
Error en operacion 100110 en tiempo                   76 ns
a = 11011110, b = 11100101, op = 100110, out = 10011001                  76
Error en operacion 100110 en tiempo                   76 ns
a = 11011110, b = 11100101, op = 100110, out = 00011001                  76
Error en operacion 100110 en tiempo                   77 ns
a = 11011110, b = 11100101, op = 100110, out = 00010001                  77
Error en operacion 100110 en tiempo                   77 ns
a = 11011110, b = 11100101, op = 100110, out = 00011001                  77
Error en operacion 100110 en tiempo                   84 ns
a = 11011110, b = 11100101, op = 100110, out = 00011000                  84
Error en operacion 100110 en tiempo                   84 ns
a = 11011110, b = 11100101, op = 100110, out = 00000000                  84
Error en operacion 100110 en tiempo                   84 ns
a = 11011110, b = 11100101, op = 100110, out = 00000001                  84
a = 11110100, b = 11100011, op = 100111, out = 00000001                  84
Error en operacion 100111 en tiempo                   84 ns
a = 11110100, b = 11100011, op = 100111, out = 00111011                  84
Error en operacion 100111 en tiempo                   91 ns
a = 11110100, b = 11100011, op = 100111, out = 00111111                  91
Error en operacion 100111 en tiempo                   91 ns
a = 11110100, b = 11100011, op = 100111, out = 00010101                  91
Error en operacion 100111 en tiempo                   91 ns
a = 11110100, b = 11100011, op = 100111, out = 00010111                  91
Error en operacion 100111 en tiempo                   92 ns
a = 11110100, b = 11100011, op = 100111, out = 00010011                  92
Error en operacion 100111 en tiempo                   92 ns
a = 11110100, b = 11100011, op = 100111, out = 00001001                  92
a = 11110100, b = 11100011, op = 100111, out = 00001000                  92
a = 00011100, b = 11010000, op = 100110, out = 00001000                  92
Error en operacion 100110 en tiempo                   99 ns
a = 00011100, b = 11010000, op = 100110, out = 00001001                  99
Error en operacion 100110 en tiempo                   99 ns
a = 00011100, b = 11010000, op = 100110, out = 00000001                  99
Error en operacion 100110 en tiempo                   99 ns
a = 00011100, b = 11010000, op = 100110, out = 00100011                  99
Error en operacion 100110 en tiempo                  100 ns
a = 00011100, b = 11010000, op = 100110, out = 00100111                 100
Error en operacion 100110 en tiempo                  100 ns
a = 00011100, b = 11010000, op = 100110, out = 01001101                 100
Error en operacion 100110 en tiempo                  100 ns
a = 00011100, b = 11010000, op = 100110, out = 01001100                 100
a = 00001010, b = 11101111, op = 100010, out = 01001100                 100
Error en operacion 100010 en tiempo                  100 ns
a = 00001010, b = 11101111, op = 100010, out = 11001100                 100
Error en operacion 100010 en tiempo                  107 ns
a = 00001010, b = 11101111, op = 100010, out = 11001101                 107
Error en operacion 100010 en tiempo                  107 ns
a = 00001010, b = 11101111, op = 100010, out = 11001001                 107
Error en operacion 100010 en tiempo                  107 ns
a = 00001010, b = 11101111, op = 100010, out = 11001101                 107
Error en operacion 100010 en tiempo                  107 ns
a = 00001010, b = 11101111, op = 100010, out = 11011111                 107
Error en operacion 100010 en tiempo                  107 ns
a = 00001010, b = 11101111, op = 100010, out = 11100101                 107
